item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q69873826,,,,,,1860-12-10,1862-03-16,male,Q69873826-4091ffc8-4b82-f7dc-7d5d-ebdb96e8ea3c
Q6390753,丁午壽,,,,,1998-07-01,,male,Q6390753-F2178AAF-549E-4203-8806-6DF42DC2DE1D
Q8969567,何世柱,,,Q5354519,選舉委員會,1998-07-01,2000-06-30,male,Q8969567-AD01236B-4532-4C27-91AA-02B94E95C4F7
Q23626,何俊仁,,,Q1099862,新界西,1998-07-01,2012-09-30,male,Q23626-FC48EF85-F519-4DAD-8D6A-D7717257BEF7
Q23626,何俊仁,,,Q5283291,區議會（第二）,2012-10-01,2016-09-30,male,Q23626-34de3342-4984-0623-d341-3d5e70170c7b
Q7614821,何俊賢,,,,,2012-10-01,2016-09-30,male,Q7614821-FCDE6CF7-96BA-4DD2-8F26-2BC8DEBF12AF
Q7614821,何俊賢,,,,,2016-10-01,2021-12-31,male,Q7614821-F5DC7DB6-C673-4813-952B-C4DDE0D199E2
Q7614821,何俊賢,,,,,2022-01-01,,male,Q7614821-52131693-DA8E-46D4-8292-392F9C952F7F
Q6313725,何君堯,,,,,2016-10-01,2021-12-31,male,Q6313725-DE699D0B-5795-4346-B72D-A615005CB681
Q6313725,何君堯,,,,,2022-01-01,,male,Q6313725-D9F16A7F-E0C1-4D01-841A-36FC06DA367C
Q10886070,何啟明,,,,,2016-10-01,2020-05-31,male,Q10886070-A63D873B-5D94-44E3-880C-51CCB5FD20CD
Q5343464,何承天,,,,,1998-07-01,,male,Q5343464-2E3819E0-C62E-47D2-BD2F-36859F86E65F
Q44314,何敏嘉,,,,,1998-07-01,,male,Q44314-BFD3713B-C7E0-484D-9C93-EB7583E2EAAC
Q4275406,何秀蘭,,,Q11083612,新界東,1998-07-01,2000-09-30,female,Q4275406-8FDE7DCF-1AA6-4BC4-97AC-04F3FB6137FA
Q4275406,何秀蘭,,,Q3248921,香港島,2000-10-01,2004-09-30,female,Q4275406-08d6da98-4816-f7c5-2fbd-4248f6a8c508
Q4275406,何秀蘭,,,Q3248921,香港島,2008-10-01,2016-09-30,female,Q4275406-bc4fa6c1-4169-3f71-e4d3-2c4aafaeb157
Q7298861,何鍾泰,,,,,1998-07-01,,male,Q7298861-2A25F634-5D1A-4E6D-85C4-D3268F755135
Q4820120,余若薇,,,Q3248921,香港島,2000-12-10,2012-09-30,female,Q4820120-D1933ECC-B614-4859-935B-2EFD3B1C0E8F
Q9015451,倪少傑,,,,,1997-01-25,1998-06-30,male,Q9015451-6CA330CB-779B-46B6-A79D-3C167FFF3350
Q6873376,劉健儀,,,Q3248982,航運交通界,1998-07-01,2012-09-30,female,Q6873376-57C8F67A-13BE-4EB9-861D-A797EBF66407
Q8424673,劉千石,,,Q10879625,九龍西,1998-07-01,2008-09-30,male,Q8424673-9A03F73C-2880-40EE-9693-C9E22DD78CB5
Q9112403,劉國勳,,,,,2016-10-01,2021-12-31,male,Q9112403-4B897046-4894-4562-8C0A-199861C767AD
Q9112403,劉國勳,,,,,2022-01-01,,male,Q9112403-33ADC823-184D-4448-A05F-8FDBC6D3E7C3
Q23888559,劉小麗,,,Q10879625,九龍西,2016-10-01,2017-07-14,female,Q23888559-554d4a19-4ed8-ccaa-ba4f-aa641aa89ba3
Q698557,劉慧卿,,,Q11083612,新界東,1998-07-01,2016-09-30,female,Q698557-27DE00A0-9F76-4A01-9060-0B4ECB66D012
Q10899938,劉智鵬,,,,,2022-01-01,,male,Q10899938-0B49FE4E-AF83-462B-8D20-C9A9AF339A5B
Q20065300,劉業強,,,,,2016-10-01,2021-12-31,male,Q20065300-FEA8BDEE-7B33-4AB8-A262-1A93F551F816
Q20065300,劉業強,,,,,2022-01-01,,male,Q20065300-2964D8DA-D1E5-492B-B22E-7F3C2E20D8F3
Q6497623,劉江華,,,Q11083612,新界東,1998-07-01,2012-09-30,male,Q6497623-AC01E15A-5B9C-4B2E-BBA3-4D21FD38CC09
Q4741814,劉漢銓,,,Q5354519,選舉委員會,1998-07-01,2004-09-30,male,Q4741814-78A5C92A-971E-4529-9269-67995581FF0F
Q8991961,劉炳章,,,,,2000-10-01,2004-09-30,male,Q8991961-421CA115-4A51-41AC-A339-63ECBCD91EA4
Q6497659,劉皇發,,,,,1998-07-01,2017-07-23,male,Q6497659-155A9296-FF78-492B-8047-BE1360E5ED60
Q7146985,劉秀成,,,,,2004-10-01,2008-09-30,male,Q7146985-0381DB9D-AE2F-4B9F-84EF-16980AAF697C
Q7146985,劉秀成,,,,,2008-10-01,2012-09-30,male,Q7146985-4A6CB847-9613-4997-B73D-4483676857D5
Q6663213,勞永樂,,,,,2000-10-01,2004-09-30,male,Q6663213-482952B1-BB17-4878-9E48-A159D06D0DFF
Q9114735,區諾軒,Q327591,SÉ,Q3248921,香港島,2018-03-21,2019-12-17,male,Q9114735-b964fedf-4545-c19d-ef53-bad53b14eece
Q19152,司徒華,,,Q10879608,九龍東,1998-07-01,2004-09-30,male,Q19152-472F7D33-3C0D-4429-ABBB-E92D7CDD5F05
Q1522364,吳亮星,,,Q5354519,選舉委員會,1998-07-01,2004-09-30,male,Q1522364-DE513E5F-36AD-40B8-AD01-BBA82961CFB5
Q1522364,吳亮星,,,Q3248972,金融界,2012-10-01,2016-09-30,male,Q1522364-5e591da6-4b15-bb8b-953c-998ab2811c02
Q65052445,吳傑莊,,,,,2022-01-01,,male,Q65052445-1DDFEB2E-D4C9-4E7E-B3A5-9C13B066CF4F
Q26211043,吳永嘉,,,,,2016-10-01,2021-12-31,male,Q26211043-167D2984-8137-48CF-84EF-51B1FF7A30F0
Q26211043,吳永嘉,,,,,2022-01-01,,male,Q26211043-59AC7830-71E9-499A-AD26-FD3CF7364C5C
Q8425945,吳清輝,,,,,1998-07-01,,male,Q8425945-C06AF1D2-F7D3-4D47-B7FF-2B7BC7BC803D
Q10919071,吳秋北,,,,,2022-01-01,,male,Q10919071-0A847154-68C6-499A-9542-7892C2814FE3
